StartTime,EndTime,Open,High,Low,Close,Volume,Red,Bid_Ask_Spread,inttime
2018-01-01 09:10:00,2018-01-01 09:15:00,13501.0,13560.0,13501.0,13531.0,89.27628213999996,1,-51.0,736695.3819444445
2018-01-01 09:15:00,2018-01-01 09:20:00,13531.0,13600.0,13501.6350901,13572.0,52.94125034000001,1,-87.0,736695.3854166666
2018-01-01 09:20:00,2018-01-01 09:25:00,13561.0,13598.0,13520.0,13548.40334381,47.27840111000002,0,-54.0,736695.3888888889
2018-01-01 09:25:00,2018-01-01 09:30:00,13547.0,13554.0,13480.0,13481.0,63.88237298999998,0,-61.0,736695.3923611111
2018-01-01 09:30:00,2018-01-01 09:35:00,13480.0,13500.0,13461.0,13498.0,43.794594400000015,0,-34.0,736695.3958333334
2018-01-01 09:35:00,2018-01-01 09:40:00,13499.0,13559.0,13499.0,13513.0,113.12522141999996,1,-51.0,736695.3993055555
2018-01-01 09:40:00,2018-01-01 09:45:00,13512.0,13558.0,13512.0,13541.0,16.13540621999999,1,-39.0,736695.4027777778
2018-01-01 09:45:00,2018-01-01 09:50:00,13542.0,13542.0,13513.0,13539.0,25.621267169999985,1,-26.173863980000533,736695.40625
2018-01-01 09:50:00,2018-01-01 09:55:00,13540.0,13599.0,13510.0,13580.0,239.22345765999992,1,-87.0,736695.4097222222
2018-01-01 09:55:00,2018-01-01 10:00:00,13588.0,13622.0,13566.0,13582.0,42.23577553000002,1,-39.0,736695.4131944445
2018-01-01 10:00:00,2018-01-01 10:05:00,13573.0,13585.0,13530.0,13548.0,49.62284980000002,1,-49.0,736695.4166666666
2018-01-01 10:05:00,2018-01-01 10:10:00,13544.0,13570.0,13516.0,13531.0,34.53435352000002,1,-42.0,736695.4201388889
2018-01-01 10:10:00,2018-01-01 10:15:00,13531.0,13531.0,13491.0,13494.0,47.32505461000001,0,-36.0,736695.4236111111
2018-01-01 10:15:00,2018-01-01 10:20:00,13493.0,13531.61473991,13427.0,13521.0,48.00705006000004,0,-91.0,736695.4270833334
2018-01-01 10:20:00,2018-01-01 10:25:00,13523.0,13523.22043797,13466.0,13472.0,37.74965537,0,-56.0,736695.4305555555
2018-01-01 10:25:00,2018-01-01 10:30:00,13471.0,13545.0,13458.0,13544.0,54.50562882000003,1,-75.0,736695.4340277778
2018-01-01 10:30:00,2018-01-01 10:35:00,13544.0,13545.0,13500.0,13532.0,22.197579100000002,0,-43.0,736695.4375
2018-01-01 10:35:00,2018-01-01 10:40:00,13533.0,13544.0,13510.0,13544.0,17.26655294000001,0,-31.0,736695.4409722222
2018-01-01 10:40:00,2018-01-01 10:45:00,13537.0,13580.0,13532.0,13542.0,68.87002598000001,0,-39.0,736695.4444444445
2018-01-01 10:45:00,2018-01-01 10:50:00,13543.0,13562.0,13525.0,13535.0,38.68847229999998,1,-34.0,736695.4479166666
2018-01-01 10:50:00,2018-01-01 10:55:00,13531.0,13549.0,13522.0,13548.0,19.926476070000003,0,-25.40334380999957,736695.4513888889
2018-01-01 10:55:00,2018-01-01 11:00:00,13549.0,13568.0,13522.0,13543.0,34.650438789999995,0,-31.0,736695.4548611111
2018-01-01 11:00:00,2018-01-01 11:05:00,13543.0,13550.0,13380.0,13380.0,156.88183245000002,0,-164.0,736695.4583333334
2018-01-01 11:05:00,2018-01-01 11:10:00,13380.0,13386.0,13251.0,13282.0,400.6432224599997,0,-127.31811885999923,736695.4618055555
2018-01-01 11:10:00,2018-01-01 11:15:00,13282.0,13283.0,13150.0,13231.0,446.28626967999986,0,-130.0,736695.4652777778
2018-01-01 11:15:00,2018-01-01 11:20:00,13230.61905578,13232.0,13120.0,13131.0,173.89975772999998,0,-110.0,736695.46875
2018-01-01 11:20:00,2018-01-01 11:25:00,13129.0,13188.64754605,13129.0,13145.0,108.1420070599999,0,-50.0,736695.4722222222
2018-01-01 11:25:00,2018-01-01 11:30:00,13151.0,13207.83452193,13100.0,13100.0,143.99115407000005,0,-96.0,736695.4756944445
2018-01-01 11:30:00,2018-01-01 11:35:00,13101.0,13179.0,13072.0,13151.0,212.26156714999993,0,-81.0,736695.4791666666
2018-01-01 11:35:00,2018-01-01 11:40:00,13150.0,13209.0,13143.0,13176.0,157.50599435000004,1,-64.0,736695.4826388889
2018-01-01 11:40:00,2018-01-01 11:45:00,13178.0,13221.02556784,13146.0,13146.0,180.02394416999985,1,-56.0,736695.4861111111
2018-01-01 11:45:00,2018-01-01 11:50:00,13147.0,13170.0,13145.0,13167.0,50.98186445,1,-22.0,736695.4895833334
2018-01-01 11:50:00,2018-01-01 11:55:00,13167.0,13248.0,13154.0,13218.0,199.37588195000015,1,-82.0,736695.4930555555
2018-01-01 11:55:00,2018-01-01 12:00:00,13219.0,13234.0,13183.0,13231.0,81.45406811999999,1,-41.0,736695.4965277778
2018-01-01 12:00:00,2018-01-01 12:05:00,13234.0,13262.0,13224.62312582,13247.0,77.94942424999999,1,-32.0,736695.5
2018-01-01 12:05:00,2018-01-01 12:10:00,13247.0,13265.0,13235.0,13258.0,55.78830274999995,0,-25.0,736695.5034722222
2018-01-01 12:10:00,2018-01-01 12:15:00,13260.0,13264.0,13201.0,13212.0,77.32151061999991,0,-59.0,736695.5069444445
2018-01-01 12:15:00,2018-01-01 12:20:00,13208.0,13208.0,13152.0,13161.0,73.29959029999995,0,-53.0,736695.5104166666
2018-01-01 12:20:00,2018-01-01 12:25:00,13168.0,13173.0,13110.0,13113.0,106.86819998999988,0,-56.0,736695.5138888889
2018-01-01 12:25:00,2018-01-01 12:30:00,13112.0,13138.0,13092.0,13138.0,179.16348628000011,0,-38.0,736695.5173611111
2018-01-01 12:30:00,2018-01-01 12:35:00,13138.0,13190.0,13137.0,13168.0,103.30733176999998,1,-51.0,736695.5208333334
2018-01-01 12:35:00,2018-01-01 12:40:00,13170.0,13183.0,13148.0,13153.0,51.873496670000016,0,-27.0,736695.5243055555
2018-01-01 12:40:00,2018-01-01 12:45:00,13157.0,13200.0,13136.0,13184.0,97.30426857999991,0,-56.0,736695.5277777778
2018-01-01 12:45:00,2018-01-01 12:50:00,13185.0,13203.0,13159.0,13174.0,60.05645378000004,0,-27.0,736695.53125
2018-01-01 12:50:00,2018-01-01 12:55:00,13183.0,13205.0,13174.0,13194.0,53.87067993000002,1,-23.0,736695.5347222222
2018-01-01 12:55:00,2018-01-01 13:00:00,13193.0,13194.0,13116.0,13144.0,65.28938899999997,0,-69.0,736695.5381944445
2018-01-01 13:00:00,2018-01-01 13:05:00,13143.07847833,13162.0,12955.0,12955.0,547.4491377199994,0,-201.0,736695.5416666666
2018-01-01 13:05:00,2018-01-01 13:10:00,12955.0,12979.0,12900.0,12962.0,378.2933189500006,1,-70.0,736695.5451388889
2018-01-01 13:10:00,2018-01-01 13:15:00,12962.0,13058.0,12962.0,13025.55825106,208.23420388999986,1,-94.0,736695.5486111111
2018-01-01 13:15:00,2018-01-01 13:20:00,13032.0,13090.0,13023.0,13079.0,80.18644613000004,0,-59.0,736695.5520833334
2018-01-01 13:20:00,2018-01-01 13:25:00,13088.0,13133.0,13078.0,13115.0,79.96076089999998,1,-38.0,736695.5555555555
2018-01-01 13:25:00,2018-01-01 13:30:00,13116.0,13116.0,13032.0,13033.0,110.31919064999991,0,-83.24663298999985,736695.5590277778
2018-01-01 13:30:00,2018-01-01 13:35:00,13033.0,13045.0,12995.0,13014.0,81.80363346000003,0,-36.0,736695.5625
2018-01-01 13:35:00,2018-01-01 13:40:00,13005.0,13092.0,12997.0,13088.0,128.15120843000003,1,-91.0,736695.5659722222
2018-01-01 13:40:00,2018-01-01 13:45:00,13088.0,13102.0,13069.0,13083.0,50.81807938000002,0,-20.0,736695.5694444445
2018-01-01 13:45:00,2018-01-01 13:50:00,13084.0,13084.0,12952.0,12957.0,166.57752568000024,0,-127.0,736695.5729166666
2018-01-01 13:50:00,2018-01-01 13:55:00,12955.0,13014.0,12925.0,12964.0,91.93151574999999,0,-68.0,736695.5763888889
2018-01-01 13:55:00,2018-01-01 14:00:00,12964.0,13028.0,12951.0,13022.0,82.26779595000005,1,-72.0,736695.5798611111
2018-01-01 14:00:00,2018-01-01 14:05:00,13022.0,13036.0,12888.0,12891.0,144.4409788800001,0,-136.0,736695.5833333334
2018-01-01 14:05:00,2018-01-01 14:10:00,12890.0,12892.0,12805.0,12850.0,308.03952427999945,0,-68.0,736695.5868055555
2018-01-01 14:10:00,2018-01-01 14:15:00,12849.0,12855.0,12777.0,12850.0,296.33389010999997,0,-67.0,736695.5902777778
2018-01-01 14:15:00,2018-01-01 14:20:00,12850.0,12905.0,12816.0,12860.0,150.09876705999966,1,-80.0,736695.59375
2018-01-01 14:20:00,2018-01-01 14:25:00,12861.0,12879.25755997,12791.0,12829.0,125.62035301999998,1,-71.0,736695.5972222222
2018-01-01 14:25:00,2018-01-01 14:30:00,12829.0,12937.0,12823.0,12920.0,177.7391527800004,1,-100.0,736695.6006944445
2018-01-01 14:30:00,2018-01-01 14:35:00,12919.0,12944.0,12844.0,12844.0,202.87063885999984,0,-99.0,736695.6041666666
2018-01-01 14:35:00,2018-01-01 14:40:00,12845.0,12936.0,12845.0,12916.0,155.34979850999997,1,-85.0,736695.6076388889
2018-01-01 14:40:00,2018-01-01 14:45:00,12917.0,12998.0,12909.0,12989.0,252.00645108000015,1,-79.0,736695.6111111111
2018-01-01 14:45:00,2018-01-01 14:50:00,12990.0,13017.0,12945.0,12950.0,255.4107360299998,0,-68.0,736695.6145833334
2018-01-01 14:50:00,2018-01-01 14:55:00,12949.0,13137.0,12949.0,13116.0,150.30179413999988,1,-180.0,736695.6180555555
2018-01-01 14:55:00,2018-01-01 15:00:00,13115.4972005,13200.0,13106.0,13193.44429002,133.9350205699999,1,-74.0,736695.6215277778
2018-01-01 15:00:00,2018-01-01 15:05:00,13171.0,13177.0,13102.0,13141.0,132.17155768999996,0,-69.0,736695.625
2018-01-01 15:05:00,2018-01-01 15:10:00,13137.0,13200.0,13135.0,13160.0,127.41926776000003,0,-57.0,736695.6284722222
2018-01-01 15:10:00,2018-01-01 15:15:00,13161.0,13178.0,13134.0,13139.0,46.248937649999995,0,-30.0,736695.6319444445
2018-01-01 15:15:00,2018-01-01 15:20:00,13139.0,13142.0,13085.0,13141.0,85.21923099000004,0,-54.0,736695.6354166666
2018-01-01 15:20:00,2018-01-01 15:25:00,13141.0,13290.0,13141.0,13284.0,227.50324334,1,-142.0,736695.6388888889
2018-01-01 15:25:00,2018-01-01 15:30:00,13285.0,13290.0,13246.0,13280.0,122.34992141999989,0,-41.0,736695.6423611111
2018-01-01 15:30:00,2018-01-01 15:35:00,13279.0,13283.0,13216.0,13230.0,114.41049238000008,1,-62.0,736695.6458333334
2018-01-01 15:35:00,2018-01-01 15:40:00,13232.0,13235.0,13211.0,13215.0,43.51873021000003,1,-20.0,736695.6493055555
2018-01-01 15:40:00,2018-01-01 15:45:00,13215.0,13216.0,13177.0,13193.0,84.08825711999997,0,-30.0,736695.6527777778
2018-01-01 15:45:00,2018-01-01 15:50:00,13194.0,13275.0,13188.0,13266.0,122.22898377999995,1,-84.0,736695.65625
2018-01-01 15:50:00,2018-01-01 15:55:00,13266.0,13269.0,13200.0,13210.0,83.94234386000005,0,-61.0,736695.6597222222
2018-01-01 15:55:00,2018-01-01 16:00:00,13213.0,13237.0,13200.0,13208.0,40.4503212,0,-31.0,736695.6631944445
2018-01-01 16:00:00,2018-01-01 16:05:00,13208.0,13209.0,13152.0,13159.0,87.79841596999997,0,-50.0,736695.6666666666
2018-01-01 16:05:00,2018-01-01 16:10:00,13159.0,13159.0,13100.0,13100.0,47.37003624000004,0,-57.0,736695.6701388889
2018-01-01 16:10:00,2018-01-01 16:15:00,13100.0,13175.0,13093.0,13170.0,117.75124778000004,0,-80.0,736695.6736111111
2018-01-01 16:15:00,2018-01-01 16:20:00,13170.0,13177.0,13100.0,13108.0,73.26070332,0,-74.0,736695.6770833334
